first_name,last_name,username,date_of_birth,gender,class_name,parent_name,parent_email,parent_phone
Bisi,Ojewale,bisi.ojewale,2017-12-28,FEMALE,Basic 2,Mrs Ojewale,parent.bisi.ojewale.ojewale@gmail.com,080376038642
Femi,Ike,femi.ike,2018-06-28,MALE,Basic 2,Mr Ike,parent.femi.ike.ike@gmail.com,080346286867
Peace,Akintola,peace.akintola,2018-11-19,FEMALE,Basic 2,Mrs Akintola,parent.peace.akintola.akintola@gmail.com,080353152477
Aisha,Osho,aisha.osho,2018-01-12,FEMALE,Basic 2,Mrs Osho,parent.aisha.osho.osho@gmail.com,080396850588
Michael,Adeosun,michael.adeosun,2017-05-12,MALE,Basic 2,Mr Adeosun,parent.michael.adeosun.adeosun@gmail.com,080394446211
Success,Eri,success.eri,2017-09-07,FEMALE,Basic 2,Mrs Eri,parent.success.eri.eri@gmail.com,080359607126
Abike,Akinola,abike.akinola,2017-09-04,FEMALE,Basic 2,Mrs Akinola,parent.abike.akinola.akinola@gmail.com,080322380558
Oluwafemi,Iheanacho,oluwafemi.iheanacho,2018-05-02,MALE,Basic 2,Mr Iheanacho,parent.oluwafemi.iheanacho.iheanacho@gmail.com,080342721443
Ayodeji,Ezeugwu,ayodeji.ezeugwu,2018-06-05,MALE,Basic 2,Mr Ezeugwu,parent.ayodeji.ezeugwu.ezeugwu@gmail.com,080373165812
Michael,Okafor,michael.okafor,2018-07-12,MALE,Basic 2,Mr Okafor,parent.michael.okafor.okafor@gmail.com,080392866978
Obinna,Adeosun,obinna.adeosun,2018-09-05,MALE,Basic 2,Mr Adeosun,parent.obinna.adeosun.adeosun@gmail.com,080330476776
Yusuf,Ogunbiyi,yusuf.ogunbiyi,2017-06-03,MALE,Basic 2,Mr Ogunbiyi,parent.yusuf.ogunbiyi.ogunbiyi@gmail.com,080365077604
Uzoamaka,Maduka,uzoamaka.maduka,2017-03-04,FEMALE,Basic 2,Mrs Maduka,parent.uzoamaka.maduka.maduka@gmail.com,080368129648
Queen,Onyeka,queen.onyeka,2018-05-20,FEMALE,Basic 2,Mrs Onyeka,parent.queen.onyeka.onyeka@gmail.com,080351972144
Maryam,Ajayi,maryam.ajayi,2017-06-22,FEMALE,Basic 2,Mrs Ajayi,parent.maryam.ajayi.ajayi@gmail.com,080389819959
Chidinma,Ukaegbu,chidinma.ukaegbu,2017-08-25,FEMALE,Basic 2,Mrs Ukaegbu,parent.chidinma.ukaegbu.ukaegbu@gmail.com,080354451062
Femi,Falade,femi.falade,2018-07-17,MALE,Basic 2,Mr Falade,parent.femi.falade.falade@gmail.com,080395565214
Queen,Odoemelam,queen.odoemelam,2018-07-11,FEMALE,Basic 2,Mrs Odoemelam,parent.queen.odoemelam.odoemelam@gmail.com,080333296482
Femi,Okoro,femi.okoro,2018-06-14,MALE,Basic 2,Mr Okoro,parent.femi.okoro.okoro@gmail.com,080373571458
Success,Ikegwu,success.ikegwu,2017-07-09,FEMALE,Basic 2,Mrs Ikegwu,parent.success.ikegwu.ikegwu@gmail.com,080361977129
Amina,Fagbemi,amina.fagbemi,2017-09-21,FEMALE,Basic 2,Mrs Fagbemi,parent.amina.fagbemi.fagbemi@gmail.com,080353930782
Uzoamaka,Ike,uzoamaka.ike,2017-05-10,FEMALE,Basic 2,Mrs Ike,parent.uzoamaka.ike.ike@gmail.com,080386731771
Blessing,Omojola,blessing.omojola,2018-11-14,FEMALE,Basic 2,Mrs Omojola,parent.blessing.omojola.omojola@gmail.com,080361593937
Hassan,Ojewale,hassan.ojewale,2017-07-12,MALE,Basic 2,Mr Ojewale,parent.hassan.ojewale.ojewale@gmail.com,080361007159
Sunday,Adeosun,sunday.adeosun,2017-05-18,MALE,Basic 2,Mr Adeosun,parent.sunday.adeosun.adeosun@gmail.com,080352191090
Faith,Nduka,faith.nduka,2018-08-28,FEMALE,Basic 2,Mrs Nduka,parent.faith.nduka.nduka@gmail.com,080385683223
Victoria,Alabi,victoria.alabi,2017-11-28,FEMALE,Basic 2,Mrs Alabi,parent.victoria.alabi.alabi@gmail.com,080355479668
Yemi,Uzoma,yemi.uzoma,2018-09-09,FEMALE,Basic 2,Mrs Uzoma,parent.yemi.uzoma.uzoma@gmail.com,080361325198
Adebayo,Ezeilo,adebayo.ezeilo,2017-02-05,MALE,Basic 2,Mr Ezeilo,parent.adebayo.ezeilo.ezeilo@gmail.com,080363680993
Tunde,Mba,tunde.mba,2017-12-10,MALE,Basic 2,Mr Mba,parent.tunde.mba.mba@gmail.com,080329523176
Rukaiya,Okeke,rukaiya.okeke,2017-02-01,FEMALE,Basic 2,Mrs Okeke,parent.rukaiya.okeke.okeke@gmail.com,080357038640
Blessing,Oparah,blessing.oparah,2017-08-22,FEMALE,Basic 2,Mrs Oparah,parent.blessing.oparah.oparah@gmail.com,080365763948
Deborah,Asoegwu,deborah.asoegwu,2018-08-11,FEMALE,Basic 2,Mrs Asoegwu,parent.deborah.asoegwu.asoegwu@gmail.com,080350615983
Somto,Nwosu,somto.nwosu,2018-06-09,MALE,Basic 2,Mr Nwosu,parent.somto.nwosu.nwosu@gmail.com,080383334204
Safiya,Oparah,safiya.oparah,2017-05-07,FEMALE,Basic 3,Mrs Oparah,parent.safiya.oparah.oparah@gmail.com,080316893064
Sunday,Onwuchekwa,sunday.onwuchekwa,2017-08-20,MALE,Basic 3,Mr Onwuchekwa,parent.sunday.onwuchekwa.onwuchekwa@gmail.com,080328550241
Joshua,Usman,joshua.usman,2017-06-22,MALE,Basic 3,Mr Usman,parent.joshua.usman.usman@gmail.com,080366041128
Blessing,Adeosun,blessing.adeosun,2017-09-17,FEMALE,Basic 3,Mrs Adeosun,parent.blessing.adeosun.adeosun@gmail.com,080371784495
Tunde,Eze,tunde.eze,2017-04-07,MALE,Basic 3,Mr Eze,parent.tunde.eze.eze@gmail.com,080378523401
Somto,Ekwueme,somto.ekwueme,2016-05-25,MALE,Basic 3,Mr Ekwueme,parent.somto.ekwueme.ekwueme@gmail.com,080382293628
Tobi,Afolabi,tobi.afolabi,2017-09-20,MALE,Basic 3,Mr Afolabi,parent.tobi.afolabi.afolabi@gmail.com,080393171791
Blessing,Olowu,blessing.olowu,2016-12-05,FEMALE,Basic 3,Mrs Olowu,parent.blessing.olowu.olowu@gmail.com,080339612378
Joy,Obi,joy.obi,2017-05-27,FEMALE,Basic 3,Mrs Obi,parent.joy.obi.obi@gmail.com,080332335198
Halima,Okoro,halima.okoro,2017-03-15,FEMALE,Basic 3,Mrs Okoro,parent.halima.okoro.okoro@gmail.com,080333130159
Godwin,Adewale,godwin.adewale,2016-07-21,MALE,Basic 3,Mr Adewale,parent.godwin.adewale.adewale@gmail.com,080389161541
Damilola,Alabi,damilola.alabi,2017-09-03,MALE,Basic 3,Mr Alabi,parent.damilola.alabi.alabi@gmail.com,080386824903
Folake,Osun,folake.osun,2016-08-01,FEMALE,Basic 3,Mrs Osun,parent.folake.osun.osun@gmail.com,080311588064
Precious,Okpara,precious.okpara,2017-06-25,FEMALE,Basic 3,Mrs Okpara,parent.precious.okpara.okpara@gmail.com,080312748282
Chinedu,Adewale,chinedu.adewale,2017-04-27,MALE,Basic 3,Mr Adewale,parent.chinedu.adewale.adewale@gmail.com,080334045335
Maryam,Bakare,maryam.bakare,2017-03-18,FEMALE,Basic 3,Mrs Bakare,parent.maryam.bakare.bakare@gmail.com,080377099740
Modupe,Olowu,modupe.olowu,2016-05-21,FEMALE,Basic 3,Mrs Olowu,parent.modupe.olowu.olowu@gmail.com,080389378746
Chinedu,Bakare,chinedu.bakare,2016-02-25,MALE,Basic 3,Mr Bakare,parent.chinedu.bakare.bakare@gmail.com,080325938050
Samuel,Okoro,samuel.okoro,2016-02-06,MALE,Basic 3,Mr Okoro,parent.samuel.okoro.okoro@gmail.com,080347274380
Fatima,Eze,fatima.eze,2016-11-21,FEMALE,Basic 3,Mrs Eze,parent.fatima.eze.eze@gmail.com,080354817017
Musa,Okafor,musa.okafor,2017-09-15,MALE,Basic 3,Mr Okafor,parent.musa.okafor.okafor@gmail.com,080355942204
Chinenye,Egbuna,chinenye.egbuna,2016-09-08,FEMALE,Basic 3,Mrs Egbuna,parent.chinenye.egbuna.egbuna@gmail.com,080367650692
Peace,Iwuchukwu,peace.iwuchukwu,2016-12-22,FEMALE,Basic 3,Mrs Iwuchukwu,parent.peace.iwuchukwu.iwuchukwu@gmail.com,080395473593
Joseph,Ibe,joseph.ibe,2017-08-12,MALE,Basic 3,Mr Ibe,parent.joseph.ibe.ibe@gmail.com,080398814702
Emeka,Eno,emeka.eno,2017-01-03,MALE,Basic 3,Mr Eno,parent.emeka.eno.eno@gmail.com,080311178604
Suleiman,Ikegwu,suleiman.ikegwu,2016-07-26,MALE,Basic 3,Mr Ikegwu,parent.suleiman.ikegwu.ikegwu@gmail.com,080388030089
Chibueze,Abdullahi,chibueze.abdullahi,2016-01-04,MALE,Basic 3,Mr Abdullahi,parent.chibueze.abdullahi.abdullahi@gmail.com,080371541133
Simisola,Nwosu,simisola.nwosu,2016-12-03,FEMALE,Basic 3,Mrs Nwosu,parent.simisola.nwosu.nwosu@gmail.com,080392007808
Oluwafemi,Omojola,oluwafemi.omojola,2016-05-16,MALE,Basic 3,Mr Omojola,parent.oluwafemi.omojola.omojola@gmail.com,080345406523
Abdullahi,Okoro,abdullahi.okoro,2016-07-08,MALE,Basic 3,Mr Okoro,parent.abdullahi.okoro.okoro@gmail.com,080395244852
Maryam,Lawal,maryam.lawal,2016-08-07,FEMALE,Basic 3,Mrs Lawal,parent.maryam.lawal.lawal@gmail.com,080329871266
Yetunde,Asoegwu,yetunde.asoegwu,2016-08-07,FEMALE,Basic 3,Mrs Asoegwu,parent.yetunde.asoegwu.asoegwu@gmail.com,080370571127
Akin,Oyelaran,akin.oyelaran,2017-04-28,MALE,Basic 3,Mr Oyelaran,parent.akin.oyelaran.oyelaran@gmail.com,080395265969
Fatima,Orji,fatima.orji,2016-06-20,FEMALE,Basic 3,Mrs Orji,parent.fatima.orji.orji@gmail.com,080392791061
Kelechi,Ikegwu,kelechi.ikegwu,2017-04-19,MALE,Basic 3,Mr Ikegwu,parent.kelechi.ikegwu.ikegwu@gmail.com,080329305658
Abike,Obiadi,abike.obiadi,2016-07-13,FEMALE,Basic 3,Mrs Obiadi,parent.abike.obiadi.obiadi@gmail.com,080314098937
Simisola,Osuji,simisola.osuji,2016-09-09,FEMALE,Basic 3,Mrs Osuji,parent.simisola.osuji.osuji@gmail.com,080361418549
Chiamaka,Bakare,chiamaka.bakare,2015-08-18,FEMALE,Basic 4,Mrs Bakare,parent.chiamaka.bakare.bakare@gmail.com,080315967134
Victor,Amaechi,victor.amaechi,2015-04-21,MALE,Basic 4,Mr Amaechi,parent.victor.amaechi.amaechi@gmail.com,080380788770
Ezinne,Obiagwu,ezinne.obiagwu,2015-05-07,FEMALE,Basic 4,Mrs Obiagwu,parent.ezinne.obiagwu.obiagwu@gmail.com,080314813396
Ikenna,Anyadike,ikenna.anyadike,2016-02-23,MALE,Basic 4,Mr Anyadike,parent.ikenna.anyadike.anyadike@gmail.com,080392811798
Bello,Imoh,bello.imoh,2015-08-27,MALE,Basic 4,Mr Imoh,parent.bello.imoh.imoh@gmail.com,080319087730
Halima,Adebayo,halima.adebayo,2016-02-08,FEMALE,Basic 4,Mrs Adebayo,parent.halima.adebayo.adebayo@gmail.com,080310253851
Blessing,Uzo,blessing.uzo,2016-11-20,FEMALE,Basic 4,Mrs Uzo,parent.blessing.uzo.uzo@gmail.com,080332878513
Blessing,Ogunleye,blessing.ogunleye,2016-07-09,FEMALE,Basic 4,Mrs Ogunleye,parent.blessing.ogunleye.ogunleye@gmail.com,080337853573
Bose,Onyeka,bose.onyeka,2015-10-28,FEMALE,Basic 4,Mrs Onyeka,parent.bose.onyeka.onyeka@gmail.com,080394080355
Usman,Okoro,usman.okoro,2015-11-26,MALE,Basic 4,Mr Okoro,parent.usman.okoro.okoro@gmail.com,080362947862
Ogechi,Oyelaran,ogechi.oyelaran,2015-07-03,FEMALE,Basic 4,Mrs Oyelaran,parent.ogechi.oyelaran.oyelaran@gmail.com,080387023433
Oluwafemi,Ekwueme,oluwafemi.ekwueme,2016-02-24,MALE,Basic 4,Mr Ekwueme,parent.oluwafemi.ekwueme.ekwueme@gmail.com,080314232716
Yetunde,Lawal,yetunde.lawal,2016-10-22,FEMALE,Basic 4,Mrs Lawal,parent.yetunde.lawal.lawal@gmail.com,080335148543
Chukwuemeka,Eze,chukwuemeka.eze,2016-12-06,MALE,Basic 4,Mr Eze,parent.chukwuemeka.eze.eze@gmail.com,080389897014
Joy,Anyadike,joy.anyadike,2015-10-17,FEMALE,Basic 4,Mrs Anyadike,parent.joy.anyadike.anyadike@gmail.com,080381898077
Adaeze,Nduka,adaeze.nduka,2016-03-14,FEMALE,Basic 4,Mrs Nduka,parent.adaeze.nduka.nduka@gmail.com,080350340403
Adesuwa,Osho,adesuwa.osho,2016-11-21,FEMALE,Basic 4,Mrs Osho,parent.adesuwa.osho.osho@gmail.com,080317450406
Emeka,Ogundipe,emeka.ogundipe,2016-08-26,MALE,Basic 4,Mr Ogundipe,parent.emeka.ogundipe.ogundipe@gmail.com,080326462683
Suleiman,Ugwu,suleiman.ugwu,2016-12-27,MALE,Basic 4,Mr Ugwu,parent.suleiman.ugwu.ugwu@gmail.com,080354209641
Grace,Adenuga,grace.adenuga,2016-05-28,FEMALE,Basic 4,Mrs Adenuga,parent.grace.adenuga.adenuga@gmail.com,080362821124
Blessing,Eze,blessing.eze,2015-04-23,FEMALE,Basic 4,Mrs Eze,parent.blessing.eze.eze@gmail.com,080356767442
Gloria,Ogunbiyi,gloria.ogunbiyi,2016-03-26,FEMALE,Basic 4,Mrs Ogunbiyi,parent.gloria.ogunbiyi.ogunbiyi@gmail.com,080323856195
Deborah,Hassan,deborah.hassan,2016-04-20,FEMALE,Basic 4,Mrs Hassan,parent.deborah.hassan.hassan@gmail.com,080395081476
Idris,Akinola,idris.akinola,2016-06-28,MALE,Basic 4,Mr Akinola,parent.idris.akinola.akinola@gmail.com,080384069568
Ayomide,Obi,ayomide.obi,2015-05-06,FEMALE,Basic 4,Mrs Obi,parent.ayomide.obi.obi@gmail.com,080379738602
Yetunde,Nwafor,yetunde.nwafor,2016-11-02,FEMALE,Basic 4,Mrs Nwafor,parent.yetunde.nwafor.nwafor@gmail.com,080350606694
Yusuf,Yusuf,yusuf.yusuf,2016-07-08,MALE,Basic 4,Mr Yusuf,parent.yusuf.yusuf.yusuf@gmail.com,080398571003
Joy,Nduka,joy.nduka,2016-06-25,FEMALE,Basic 4,Mrs Nduka,parent.joy.nduka.nduka@gmail.com,080378820705
Aisha,Enwere,aisha.enwere,2016-07-20,FEMALE,Basic 4,Mrs Enwere,parent.aisha.enwere.enwere@gmail.com,080364093701
Kolawole,Adesina,kolawole.adesina,2015-02-08,MALE,Basic 4,Mr Adesina,parent.kolawole.adesina.adesina@gmail.com,080342933012
Abike,Anyadike,abike.anyadike,2015-07-17,FEMALE,Basic 4,Mrs Anyadike,parent.abike.anyadike.anyadike@gmail.com,080346274582
Ifeoma,Eri,ifeoma.eri,2015-04-13,FEMALE,Basic 4,Mrs Eri,parent.ifeoma.eri.eri@gmail.com,080327673305
Michael,Emeka,michael.emeka,2015-07-08,MALE,Basic 4,Mr Emeka,parent.michael.emeka.emeka@gmail.com,080365211097
Emeka,Nnamdi,emeka.nnamdi,2016-11-05,MALE,Basic 4,Mr Nnamdi,parent.emeka.nnamdi.nnamdi@gmail.com,080386943638
Nkechi,Akinwunmi,nkechi.akinwunmi,2016-06-20,FEMALE,Basic 4,Mrs Akinwunmi,parent.nkechi.akinwunmi.akinwunmi@gmail.com,080332090683
Ronke,Osho,ronke.osho,2016-08-28,FEMALE,Basic 4,Mrs Osho,parent.ronke.osho.osho@gmail.com,080329240032
Abubakar,Osuji,abubakar.osuji,2015-02-01,MALE,Basic 4,Mr Osuji,parent.abubakar.osuji.osuji@gmail.com,080387097493
Uchenna,Akinwale,uchenna.akinwale,2015-01-15,MALE,Basic 5,Mr Akinwale,parent.uchenna.akinwale.akinwale@gmail.com,080385897984
Tochukwu,Adenuga,tochukwu.adenuga,2014-07-21,MALE,Basic 5,Mr Adenuga,parent.tochukwu.adenuga.adenuga@gmail.com,080324290582
Bello,Lawal,bello.lawal,2015-02-12,MALE,Basic 5,Mr Lawal,parent.bello.lawal.lawal@gmail.com,080330183992
Joshua,Mba,joshua.mba,2015-05-25,MALE,Basic 5,Mr Mba,parent.joshua.mba.mba@gmail.com,080371716886
Wale,Osuji,wale.osuji,2014-07-21,MALE,Basic 5,Mr Osuji,parent.wale.osuji.osuji@gmail.com,080329694998
Segun,Abdullahi,segun.abdullahi,2015-10-28,MALE,Basic 5,Mr Abdullahi,parent.segun.abdullahi.abdullahi@gmail.com,080353924803
Joshua,Enwere,joshua.enwere,2014-09-14,MALE,Basic 5,Mr Enwere,parent.joshua.enwere.enwere@gmail.com,080350571319
Segun,Enwere,segun.enwere,2015-05-14,MALE,Basic 5,Mr Enwere,parent.segun.enwere.enwere@gmail.com,080353488513
Chima,Oparah,chima.oparah,2015-03-12,MALE,Basic 5,Mr Oparah,parent.chima.oparah.oparah@gmail.com,080395183555
Damilola,Obiadi,damilola.obiadi,2014-01-07,MALE,Basic 5,Mr Obiadi,parent.damilola.obiadi.obiadi@gmail.com,080365338932
Michael,Ajayi,michael.ajayi,2015-07-21,MALE,Basic 5,Mr Ajayi,parent.michael.ajayi.ajayi@gmail.com,080377747179
Joseph,Egbuna,joseph.egbuna,2015-07-25,MALE,Basic 5,Mr Egbuna,parent.joseph.egbuna.egbuna@gmail.com,080389803783
Yetunde,Adesina,yetunde.adesina,2014-06-13,FEMALE,Basic 5,Mrs Adesina,parent.yetunde.adesina.adesina@gmail.com,080364212575
Chukwuemeka,Afolabi,chukwuemeka.afolabi,2015-08-02,MALE,Basic 5,Mr Afolabi,parent.chukwuemeka.afolabi.afolabi@gmail.com,080314931851
Idris,Uzoma,idris.uzoma,2014-02-25,MALE,Basic 5,Mr Uzoma,parent.idris.uzoma.uzoma@gmail.com,080367243654
Ayomide,Olowu,ayomide.olowu,2015-01-07,FEMALE,Basic 5,Mrs Olowu,parent.ayomide.olowu.olowu@gmail.com,080340967536
Kosisochukwu,Anya,kosisochukwu.anya,2015-10-18,FEMALE,Basic 5,Mrs Anya,parent.kosisochukwu.anya.anya@gmail.com,080381730184
Idris,Emeka,idris.emeka,2014-05-05,MALE,Basic 5,Mr Emeka,parent.idris.emeka.emeka@gmail.com,080327019061
Gloria,Nnamdi,gloria.nnamdi,2014-02-19,FEMALE,Basic 5,Mrs Nnamdi,parent.gloria.nnamdi.nnamdi@gmail.com,080370617294
Blessing,Orji,blessing.orji,2014-05-14,FEMALE,Basic 5,Mrs Orji,parent.blessing.orji.orji@gmail.com,080369340644
Akin,Akinwale,akin.akinwale,2014-01-14,MALE,Basic 5,Mr Akinwale,parent.akin.akinwale.akinwale@gmail.com,080352509341
Halima,Falade,halima.falade,2015-12-02,FEMALE,Basic 5,Mrs Falade,parent.halima.falade.falade@gmail.com,080327606610
Ibrahim,Asoegwu,ibrahim.asoegwu,2015-11-21,MALE,Basic 5,Mr Asoegwu,parent.ibrahim.asoegwu.asoegwu@gmail.com,080330014039
Amara,Eri,amara.eri,2014-07-07,FEMALE,Basic 5,Mrs Eri,parent.amara.eri.eri@gmail.com,080357751012
Chibueze,Adeyemi,chibueze.adeyemi,2015-03-25,MALE,Basic 5,Mr Adeyemi,parent.chibueze.adeyemi.adeyemi@gmail.com,080350520742
Adebayo,Amaechi,adebayo.amaechi,2015-02-12,MALE,Basic 5,Mr Amaechi,parent.adebayo.amaechi.amaechi@gmail.com,080371253124
Chukwuemeka,Afolabi,chukwuemeka.afolabi2,2014-05-18,MALE,Basic 5,Mr Afolabi,parent.chukwuemeka.afolabi2.afolabi@gmail.com,080343261891
Ifeoma,Ibrahim,ifeoma.ibrahim,2014-09-03,FEMALE,Basic 5,Mrs Ibrahim,parent.ifeoma.ibrahim.ibrahim@gmail.com,080347784346
Akin,Umeadi,akin.umeadi,2014-03-05,MALE,Basic 5,Mr Umeadi,parent.akin.umeadi.umeadi@gmail.com,080349265966
Ogechi,Alao,ogechi.alao,2015-10-21,FEMALE,Basic 5,Mrs Alao,parent.ogechi.alao.alao@gmail.com,080386092628
Victoria,Adeosun,victoria.adeosun,2015-08-03,FEMALE,Basic 5,Mrs Adeosun,parent.victoria.adeosun.adeosun@gmail.com,080334814829
Dare,Ezeilo,dare.ezeilo,2014-09-12,MALE,Basic 5,Mr Ezeilo,parent.dare.ezeilo.ezeilo@gmail.com,080344631390
Chiamaka,Abubakar,chiamaka.abubakar,2014-05-15,FEMALE,Basic 5,Mrs Abubakar,parent.chiamaka.abubakar.abubakar@gmail.com,080371733938
Ogechi,Fagbemi,ogechi.fagbemi,2015-02-16,FEMALE,Basic 5,Mrs Fagbemi,parent.ogechi.fagbemi.fagbemi@gmail.com,080364763862
Gloria,Anya,gloria.anya,2014-05-25,FEMALE,Basic 5,Mrs Anya,parent.gloria.anya.anya@gmail.com,080371511236
Peter,Ogunleye,peter.ogunleye,2014-01-11,MALE,Basic 5,Mr Ogunleye,parent.peter.ogunleye.ogunleye@gmail.com,080340465196
Tobi,Eri,tobi.eri,2015-08-17,MALE,Basic 5,Mr Eri,parent.tobi.eri.eri@gmail.com,080375609470
Samuel,Alabi,samuel.alabi,2012-06-27,MALE,JSS1,Mr Alabi,parent.samuel.alabi.alabi@gmail.com,080388197276
Tochukwu,Nwankwo,tochukwu.nwankwo,2014-06-28,MALE,JSS1,Mr Nwankwo,parent.tochukwu.nwankwo.nwankwo@gmail.com,080363386520
